,distance,size,valid,time,success
0,200,30,True,1.0500400066375732,True
1,200,30,True,1.065814733505249,True
2,200,30,True,0.9816651344299316,True
3,200,30,True,1.4669930934906006,True
4,200,30,True,0.9169986248016357,True
5,200,30,True,1.0825576782226562,True
6,200,30,True,1.0322704315185547,True
7,200,30,True,0.9666662216186523,True
8,200,30,True,2.34924578666687,True
9,200,30,True,0.9840188026428223,True
10,200,30,True,1.2319467067718506,True
11,200,30,True,0.9493470191955566,True
12,200,30,True,1.2652535438537598,True
13,200,30,True,1.0658023357391357,True
14,200,30,True,1.2674667835235596,True
15,200,40,True,1.049239158630371,True
16,200,40,True,2.1835362911224365,True
17,200,40,True,1.1150071620941162,True
18,200,40,True,1.0165088176727295,True
19,200,40,True,0.949805736541748,True
20,200,40,True,0.9161474704742432,True
21,200,40,True,1.5321521759033203,True
22,200,40,True,1.0830786228179932,True
23,200,40,True,1.0328619480133057,True
24,200,40,True,0.9841623306274414,True
25,200,40,True,2.3163797855377197,True
26,200,40,True,1.0480515956878662,True
27,200,40,True,1.1822054386138916,True
28,200,40,True,1.0340349674224854,True
29,200,40,True,1.0156869888305664,True
30,100,50,True,0.9328923225402832,True
31,100,50,True,0.9179565906524658,True
32,100,50,True,1.0475921630859375,True
33,100,50,True,0.8838191032409668,True
34,100,50,True,0.8306035995483398,True
35,100,50,True,0.9377138614654541,True
36,100,50,True,2.0967423915863037,True
37,100,50,True,1.0492498874664307,True
38,100,50,True,0.9319279193878174,True
39,100,50,True,2.100722551345825,True
40,100,50,True,1.0486886501312256,True
41,100,50,True,0.9495859146118164,True
42,100,50,True,0.9329156875610352,True
43,100,50,True,0.8835210800170898,True
44,100,50,True,0.8986351490020752,True
45,100,30,True,1.066349744796753,True
46,100,30,True,1.165992021560669,True
47,100,30,True,2.3830575942993164,True
48,100,30,True,1.098625659942627,True
49,100,30,True,1.0333352088928223,True
50,100,30,True,1.0328073501586914,True
51,100,30,True,2.402034282684326,True
52,100,30,True,0.9634401798248291,True
53,100,30,True,1.0993640422821045,True
54,100,30,True,0.8997571468353271,True
55,100,30,True,2.415253162384033,True
56,100,30,True,1.016317367553711,True
57,100,30,True,1.000006914138794,True
58,100,30,True,0.9829912185668945,True
59,100,30,True,1.3983314037322998,True
60,300,40,True,1.1851584911346436,True
61,300,40,True,1.2313168048858643,True
62,300,40,True,1.5194168090820312,True
63,300,40,True,1.362727165222168,True
64,300,40,True,1.1651155948638916,True
65,300,40,True,2.201277017593384,True
66,300,40,True,1.3492772579193115,True
67,300,40,True,1.1990885734558105,True
68,300,40,True,1.2986605167388916,True
69,300,40,True,1.0993967056274414,True
70,300,40,True,1.2332110404968262,True
71,300,40,True,1.115994930267334,True
72,300,40,True,1.1656267642974854,True
73,300,40,True,1.0340602397918701,True
74,300,40,True,1.1171066761016846,True
75,300,50,True,1.1815171241760254,True
76,300,50,True,1.1158370971679688,True
77,300,50,True,1.0317137241363525,True
78,300,50,True,0.9160668849945068,True
79,300,50,True,1.1013007164001465,True
80,300,50,True,1.081998586654663,True
81,300,50,True,2.3834753036499023,True
82,300,50,True,1.0821771621704102,True
83,300,50,True,1.0161499977111816,True
84,300,50,True,0.9519143104553223,True
85,300,50,True,1.0808560848236084,True
86,300,50,True,1.0656983852386475,True
87,300,50,True,0.9832262992858887,True
88,300,50,True,1.0188019275665283,True
89,300,50,True,1.0628786087036133,True
90,300,30,True,0.983806848526001,True
91,300,30,True,1.1323773860931396,True
92,300,30,True,1.0695083141326904,True
93,300,30,True,1.0161216259002686,True
94,300,30,True,1.198502540588379,True
95,300,30,True,2.2805068492889404,True
96,300,30,True,1.5155062675476074,True
97,300,30,True,1.3648836612701416,True
98,300,30,True,1.6508584022521973,True
99,300,30,True,1.3000445365905762,True
100,300,30,True,1.0491907596588135,True
101,300,30,True,1.3331420421600342,True
102,300,30,True,1.2486481666564941,True
103,300,30,True,1.1998050212860107,True
104,300,30,True,1.1820597648620605,True
105,100,40,True,1.0343255996704102,True
106,100,40,True,1.1483030319213867,True
107,100,40,True,1.1829452514648438,True
108,100,40,True,0.9672424793243408,True
109,100,40,True,0.9818730354309082,True
110,100,40,True,0.8333878517150879,True
111,100,40,True,0.8476536273956299,True
112,100,40,True,0.8025307655334473,True
113,100,40,True,0.9653427600860596,True
114,100,40,True,0.9158902168273926,True
115,100,40,True,2.349353313446045,True
116,100,40,True,0.9665951728820801,True
117,100,40,True,0.981536865234375,True
118,100,40,True,0.8669350147247314,True
119,100,40,True,1.0843827724456787,True
120,200,50,True,0.9190211296081543,True
121,200,50,True,1.061570644378662,True
122,200,50,True,0.9998657703399658,True
123,200,50,True,1.033327341079712,True
124,200,50,True,0.9831695556640625,True
125,200,50,True,1.0990526676177979,True
126,200,50,True,2.252197265625,True
127,200,50,True,1.216482400894165,True
128,200,50,True,1.198460578918457,True
129,200,50,True,1.081047773361206,True
130,200,50,True,0.9824988842010498,True
131,200,50,True,2.484006643295288,True
132,200,50,True,1.0981299877166748,True
133,200,50,True,1.1667931079864502,True
134,200,50,True,1.300379753112793,True
