,distance,size,valid,time,success
0,300,40,True,2.467374086380005,True
1,300,40,True,1.4340264797210693,True
2,300,40,True,1.58083176612854,True
3,300,40,False,,True
4,300,40,True,1.4658362865447998,True
5,300,40,True,1.8428986072540283,True
6,300,40,True,1.6421222686767578,True
7,300,40,True,1.7641167640686035,True
8,300,40,True,1.7765636444091797,True
9,300,40,True,1.8046777248382568,True
10,300,40,True,2.1128368377685547,True
11,100,30,True,2.119312286376953,True
12,100,30,True,1.46598219871521,True
13,100,30,True,1.6526613235473633,True
14,100,30,True,1.7978477478027344,True
15,100,30,False,,True
16,100,30,True,1.4714415073394775,True
17,100,30,True,1.3779563903808594,True
18,100,30,True,1.6830005645751953,True
19,100,30,True,1.504755973815918,True
20,100,30,True,3.117194652557373,True
21,100,30,False,,True
22,200,50,True,1.8631141185760498,True
23,200,50,True,2.0202720165252686,True
24,200,50,True,2.34744930267334,True
25,200,50,True,2.5210025310516357,True
26,200,50,False,,True
27,200,50,True,1.779242753982544,True
28,200,50,True,1.6664226055145264,True
29,200,50,True,2.0974433422088623,True
30,200,50,True,1.3453235626220703,True
31,200,50,True,1.9809935092926025,True
32,200,50,True,1.9763081073760986,True
33,100,50,True,1.6710011959075928,True
34,100,50,True,1.161512851715088,True
35,100,50,True,1.3999834060668945,True
36,100,50,True,1.288987398147583,True
37,100,50,False,,True
38,100,50,True,1.0718064308166504,True
39,100,50,True,1.3721697330474854,True
40,100,50,True,1.4334301948547363,True
41,100,50,True,1.2565326690673828,True
42,100,50,True,1.1150004863739014,True
43,100,50,True,1.1324334144592285,True
44,300,50,True,2.4880313873291016,True
45,300,50,True,2.222440242767334,True
46,300,50,True,3.126330614089966,True
47,300,50,True,2.718296527862549,True
48,300,50,True,1.9797751903533936,True
49,300,50,True,2.4848556518554688,True
50,300,50,True,1.8143997192382812,True
51,300,50,True,2.027498722076416,True
52,300,50,True,2.02132248878479,True
53,300,50,True,2.047724485397339,True
54,300,50,True,1.827141523361206,True
55,300,30,True,2.0414011478424072,True
56,300,30,True,1.9762423038482666,True
57,300,30,True,3.532263994216919,True
58,300,30,False,,True
59,300,30,True,1.8591291904449463,True
60,300,30,True,2.395576000213623,True
61,300,30,True,1.919224739074707,True
62,300,30,True,2.018641948699951,True
63,300,30,True,2.1176795959472656,True
64,300,30,True,1.8856556415557861,True
65,300,30,True,1.5845201015472412,True
66,100,50,True,1.3134775161743164,True
67,100,50,True,1.0150012969970703,True
68,100,50,True,1.3170015811920166,True
69,100,50,True,1.2388842105865479,True
70,100,50,True,1.2110002040863037,True
71,100,50,True,1.067502498626709,True
72,100,50,True,1.133997917175293,True
73,100,50,True,2.365966320037842,True
74,100,50,True,1.744067668914795,True
75,100,50,True,1.400517463684082,True
76,100,50,True,1.2553660869598389,True
77,100,30,True,1.2491118907928467,True
78,100,30,True,1.2597806453704834,True
79,100,30,True,1.2326247692108154,True
80,100,30,True,1.2178840637207031,True
81,100,30,True,1.3491783142089844,True
82,100,30,True,1.411217451095581,True
83,100,30,True,1.286463975906372,True
84,100,30,True,1.0907938480377197,True
85,100,30,True,1.3048148155212402,True
86,100,30,True,2.8026905059814453,True
87,100,30,True,1.9511539936065674,True
88,200,40,True,1.7310657501220703,True
89,200,40,True,1.9491596221923828,True
90,200,40,True,1.8045213222503662,True
91,200,40,True,1.4470012187957764,True
92,200,40,True,1.4182498455047607,True
93,200,40,True,1.7450780868530273,True
94,200,40,True,1.3032922744750977,True
95,200,40,True,1.6316723823547363,True
96,200,40,True,1.4950087070465088,True
97,200,40,True,1.856440782546997,True
98,200,40,True,1.6526930332183838,True
99,300,50,True,2.1271841526031494,True
100,300,50,True,1.6488173007965088,True
101,300,50,True,1.4201819896697998,True
102,300,50,True,1.7959988117218018,True
103,300,50,True,1.917837142944336,True
104,300,50,True,1.761340856552124,True
105,300,50,True,1.481614351272583,True
106,300,50,True,1.4721298217773438,True
107,300,50,True,2.0510849952697754,True
108,300,50,True,1.8762142658233643,True
109,300,50,True,1.4069981575012207,True
110,100,40,True,1.3273186683654785,True
111,100,40,True,1.0670011043548584,True
112,100,40,False,,True
113,100,40,True,0.9969515800476074,True
114,100,40,True,1.2577874660491943,True
115,100,40,True,0.994563102722168,True
116,100,40,True,1.149646282196045,True
117,100,40,True,1.0843594074249268,True
118,100,40,True,1.5710084438323975,True
119,100,40,True,1.1979010105133057,True
120,100,40,True,1.1183280944824219,True
121,200,30,True,1.3301279544830322,True
122,200,30,True,1.492999792098999,True
123,200,30,True,1.2340033054351807,True
124,200,30,True,3.732438802719116,True
125,200,30,True,2.180847644805908,True
126,200,30,True,2.090824842453003,True
127,200,30,True,1.5482676029205322,True
128,200,30,True,0.34399962425231934,True
129,200,30,False,,True
130,200,30,True,1.618150234222412,True
131,200,30,False,,True
132,300,40,True,1.8739955425262451,True
133,300,40,True,1.9400019645690918,True
134,300,40,True,1.9961562156677246,True
135,300,40,True,2.0347046852111816,True
136,300,40,True,1.575070858001709,True
137,300,40,True,5.361419916152954,True
138,300,40,True,2.224012851715088,True
139,300,40,True,1.6026835441589355,True
140,300,40,True,1.8575422763824463,True
141,300,40,True,1.9051024913787842,True
142,300,40,True,1.6920037269592285,True
143,100,50,True,1.097766637802124,True
144,100,50,True,0.96915602684021,True
145,100,50,True,1.1789953708648682,True
146,100,50,True,1.0950167179107666,True
147,100,50,True,1.1890206336975098,True
148,100,50,True,1.015791893005371,True
149,100,50,True,1.0454232692718506,True
150,100,50,True,1.0456769466400146,True
151,100,50,True,1.2821977138519287,True
152,100,50,True,1.0227839946746826,True
153,100,50,True,1.089003086090088,True
154,200,50,True,1.580416202545166,True
155,200,50,False,,True
156,200,50,True,1.8800435066223145,True
157,200,50,True,1.9255361557006836,True
158,200,50,True,1.3592958450317383,True
159,200,50,True,2.2301862239837646,True
160,200,50,True,1.9211137294769287,True
161,200,50,True,1.4134185314178467,True
162,200,50,True,1.3964717388153076,True
163,200,50,True,1.2532365322113037,True
164,200,50,True,1.3490016460418701,True
165,100,40,True,1.2042012214660645,True
166,100,40,True,1.0418133735656738,True
167,100,40,True,1.2706196308135986,True
168,100,40,True,1.0316228866577148,True
169,100,40,False,,True
170,100,40,True,1.394777536392212,True
171,100,40,True,1.9466676712036133,True
172,100,40,True,1.1540656089782715,True
173,100,40,True,1.2278997898101807,True
174,100,40,True,1.2023842334747314,True
175,100,40,True,1.2570898532867432,True
176,200,50,True,1.3806273937225342,True
177,200,50,True,1.3702025413513184,True
178,200,50,True,1.487135648727417,True
179,200,50,True,1.566737174987793,True
180,200,50,True,1.417231798171997,True
181,200,50,True,1.1190032958984375,True
182,200,50,False,,True
183,200,50,True,1.2305355072021484,True
184,200,50,True,1.2867586612701416,True
185,200,50,True,1.1834383010864258,True
186,200,50,True,1.4609472751617432,True
187,300,50,True,1.9220001697540283,True
188,300,50,True,1.8361246585845947,True
189,300,50,True,1.8434629440307617,True
190,300,50,True,1.8826754093170166,True
191,300,50,True,1.3046813011169434,True
192,300,50,True,1.8641393184661865,True
193,300,50,True,1.800290822982788,True
194,300,50,True,1.570763349533081,True
195,300,50,True,1.325645923614502,True
196,300,50,True,1.8698945045471191,True
197,300,50,True,1.6854758262634277,True
198,300,40,True,1.3919086456298828,True
199,300,40,True,1.6454548835754395,True
200,300,40,True,1.884702205657959,True
201,300,40,True,1.6026699542999268,True
202,300,40,True,1.6113076210021973,True
203,300,40,True,1.8396239280700684,True
204,300,40,True,1.748469591140747,True
205,300,40,True,2.0591366291046143,True
206,300,40,True,1.4738693237304688,True
207,300,40,True,1.804131269454956,True
208,300,40,True,1.3459906578063965,True
209,300,30,True,1.494542121887207,True
210,300,30,True,2.2307658195495605,True
211,300,30,True,2.1459126472473145,True
212,300,30,True,1.770817518234253,True
213,300,30,True,1.538038730621338,True
214,300,30,True,2.013221263885498,True
215,300,30,True,1.4649207592010498,True
216,300,30,True,1.5005362033843994,True
217,300,30,True,1.9280953407287598,True
218,300,30,True,1.6254780292510986,True
